species,LB_NOM,NOM_VALIDE,CD_NOM,REGNE,PHYLUM,CLASSE,ORDRE,FAMILLE,SOUS_FAMILLE,TRIBU,RANG
Aeluropus.littoralis,Aeluropus littoralis,"Aeluropus littoralis (Gouan) Parl., 1850",80329,Plantae,0,Equisetopsida,Poales,Poaceae,Chloridoideae,Cynodonteae,ES
Agrimonia.eupatoria,Agrimonia eupatoria,"Agrimonia eupatoria L., 1753",80410,Plantae,0,Equisetopsida,Rosales,Rosaceae,Rosoideae,Agrimonieae,ES
Agrostis.stolonifera,Agrostis stolonifera,"Agrostis stolonifera L., 1753",80759,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Ajuga.iva,Ajuga iva,"Ajuga iva (L.) Schreb., 1773",80983,Plantae,0,Equisetopsida,Lamiales,Lamiaceae,Ajugoideae,0,ES
Allium.polyanthum,Allium polyanthum,"Allium ampeloprasum L., 1753",81480,Plantae,0,Equisetopsida,Asparagales,Amaryllidaceae,Allioideae,Allieae,ES
Alopecurus.bulbosus,Alopecurus bulbosus,"Alopecurus bulbosus Gouan, 1762",81624,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Amaranthaceae.sp.,Amaranthaceae,"Amaranthaceae Juss., 1789 [nom. cons.]",187277,Plantae,0,Equisetopsida,Caryophyllales,Amaranthaceae,0,0,FM
Ammophila.arenaria.subsp..arundinacea,Ammophila arenaria subsp. arundinacea,"Ammophila arenaria subsp. arundinacea (Husn.) H.Lindb., 1932",131314,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,SSES
Anthemis.maritima,Anthemis maritima,"Anthemis maritima L., 1753",82856,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Anthemideae,ES
Arenaria.leptoclados,Arenaria leptoclados,"Arenaria leptoclados (Rchb.) Guss., 1844",83596,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,ES
Aristolochia.rotunda,Aristolochia rotunda,"Aristolochia rotunda L., 1753",83793,Plantae,0,Equisetopsida,Piperales,Aristolochiaceae,0,0,ES
Artemisia.campestris.subsp..glutinosa,Artemisia campestris subsp. glutinosa,"Artemisia campestris subsp. glutinosa (J.Gay ex Besser) Batt., 1889",131714,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Anthemideae,SSES
Arthrocaulon.macrostachyum,Arthrocaulon macrostachyum,"Arthrocaulon macrostachyum (Moric.) Piirainen & G.Kadereit, 2017",966891,Plantae,0,Equisetopsida,Caryophyllales,Amaranthaceae,Salicornioideae,0,ES
Asparagus.acutifolius,Asparagus acutifolius,"Asparagus acutifolius L., 1753",84264,Plantae,0,Equisetopsida,Asparagales,Asparagaceae,Asparagoideae,0,ES
Aster.maritimus,Aster maritimus,"Tripolium pannonicum (Jacq.) Dobrocz., 1962",84679,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Astereae,ES
Aster.squamatus,Aster squamatus,"Symphyotrichum squamatum (Spreng.) G.L.Nesom, 1995",84714,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Astereae,ES
Asteraceae.sp.,Asteraceae,"Asteraceae Bercht. & J.Presl, 1820",187227,Plantae,0,Equisetopsida,Asterales,Asteraceae,0,0,FM
Atriplex.prostrata,Atriplex prostrata,"Atriplex prostrata Boucher ex DC., 1805",85112,Plantae,0,Equisetopsida,Caryophyllales,Amaranthaceae,Chenopodioideae,Atripliceae,ES
Avena.barbata,Avena barbata,"Avena barbata Pott ex Link, 1799",85208,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Avena.sterilis,Avena sterilis,"Anisantha sterilis (L.) Nevski, 1934",85375,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Bromeae,ES
Bellis.annua,Bellis annua,"Bellis annua L., 1753",85728,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Astereae,ES
Blackstonia.acuminata,Blackstonia acuminata,"Blackstonia acuminata (W.D.J.Koch & Ziz) Domin, 1933",86084,Plantae,0,Equisetopsida,Gentianales,Gentianaceae,0,0,ES
Blackstonia.perfoliata.subsp..perfoliata,Blackstonia perfoliata subsp. perfoliata,"Blackstonia perfoliata subsp. perfoliata (L.) Huds., 1762",132169,Plantae,0,Equisetopsida,Gentianales,Gentianaceae,0,0,SSES
Blackstonia.sp.,Blackstonia,"Blackstonia Huds., 1762",189895,Plantae,0,Equisetopsida,Gentianales,Gentianaceae,0,0,GN
Bolboschoenus.maritimus,Bolboschoenus maritimus,"Bolboschoenus maritimus (L.) Palla, 1905",86131,Plantae,0,Equisetopsida,Poales,Cyperaceae,Cyperoideae,Fuireneae,ES
Brachypodium.distachyon,Brachypodium distachyon,"Brachypodium distachyon (L.) P.Beauv., 1812",86262,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Brachypodieae,ES
Brachypodium.phoenicoides,Brachypodium phoenicoides,"Brachypodium phoenicoides (L.) Roem. & Schult., 1817",86288,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Brachypodieae,ES
Bromus.diandrus,Bromus diandrus,"Anisantha diandra (Roth) Tutin ex Tzvelev, 1963",86589,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Bromeae,ES
Bromus.hordeaceus,Bromus hordeaceus,"Bromus hordeaceus L., 1753",86634,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Bromeae,ES
Bromus.lanceolatus,Bromus lanceolatus,"Bromus lanceolatus Roth, 1797",86648,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Bromeae,ES
Bromus.madritensis,Bromus madritensis,"Anisantha diandra (Roth) Tutin ex Tzvelev, 1963",86667,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Bromeae,ES
Bromus.rubens,Bromus rubens,"Anisantha rubens (L.) Nevski, 1934",86741,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Bromeae,ES
Bromus.sp.,Bromus,"Bromus L., 1753",190057,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Bromeae,GN
Bupleurum.semicompositum,Bupleurum semicompositum,"Bupleurum semicompositum L., 1756",87098,Plantae,0,Equisetopsida,Apiales,Apiaceae,Apioideae,Bupleureae,ES
Bupleurum.tenuissimum,Bupleurum tenuissimum,"Bupleurum tenuissimum L., 1753",87106,Plantae,0,Equisetopsida,Apiales,Apiaceae,Apioideae,Bupleureae,ES
Carduus.sp.,Carduus,"Carduus L., 1753",190352,Plantae,0,Equisetopsida,Asterales,Asteraceae,Carduoideae,Cardueae,GN
Carduus.tenuiflorus,Carduus tenuiflorus,"Carduus tenuiflorus Curtis, 1793",88207,Plantae,0,Equisetopsida,Asterales,Asteraceae,Carduoideae,Cardueae,ES
Carex.divisa,Carex divisa,"Carex divisa Huds., 1762",88482,Plantae,0,Equisetopsida,Poales,Cyperaceae,Cyperoideae,Cariceae,ES
Carex.extensa,Carex extensa,"Carex extensa Gooden., 1794",88502,Plantae,0,Equisetopsida,Poales,Cyperaceae,Cyperoideae,Cariceae,ES
Carex.otrubae,Carex otrubae,"Carex otrubae Podp., 1922",88741,Plantae,0,Equisetopsida,Poales,Cyperaceae,Cyperoideae,Cariceae,ES
Catapodium.rigidum,Catapodium rigidum,"Catapodium rigidum (L.) C.E.Hubb., 1953",89338,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Centaurea.melitensis,Centaurea melitensis,"Centaurea melitensis L., 1753",89639,Plantae,0,Equisetopsida,Asterales,Asteraceae,Carduoideae,Cardueae,ES
Centaurium.sp.,Centaurium,"Centaurium Hill, 1756",190444,Plantae,0,Equisetopsida,Gentianales,Gentianaceae,0,0,GN
Centaurium.tenuiflorum.subsp..acutiflorum,Centaurium tenuiflorum subsp. acutiflorum,"Centaurium tenuiflorum subsp. acutiflorum (Schott) Zeltner, 1970",133046,Plantae,0,Equisetopsida,Gentianales,Gentianaceae,0,0,SSES
Cerastium.glomeratum,Cerastium glomeratum,"Cerastium glomeratum Thuill., 1799",90017,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,ES
Cerastium.pumilum,Cerastium pumilum,"Cerastium pumilum Curtis, 1777",90076,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,ES
Cerastium.semidecandrum,Cerastium semidecandrum,"Cerastium semidecandrum L., 1753",90091,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,ES
Convolvulus.arvensis,Convolvulus arvensis,"Convolvulus arvensis L., 1753",92302,Plantae,0,Equisetopsida,Solanales,Convolvulaceae,Convolvuloideae,Convolvuleae,ES
Crepis.capillaris,Crepis capillaris,"Crepis capillaris (L.) Wallr., 1840",93023,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Crepis.foetida,Crepis foetida,"Crepis foetida L., 1753",93045,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Crepis.pulchra,Crepis pulchra,"Crepis pulchra L., 1753",93114,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Crepis.sancta,Crepis sancta,"Crepis sancta (L.) Bornm., 1913",93129,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Crepis.sp.,Crepis,"Crepis L., 1753",191251,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,GN
Crepis.vesicaria.subsp..taraxacifolia,Crepis vesicaria subsp. taraxacifolia,"Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell., 1914",133531,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,SSES
Cuscuta.campestris,Cuscuta campestris,"Cuscuta campestris Yunck., 1932",93613,Plantae,0,Equisetopsida,Solanales,Convolvulaceae,Cuscutoideae,0,ES
Cuscuta.sp.,Cuscuta,"Cuscuta L., 1753",191368,Plantae,0,Equisetopsida,Solanales,Convolvulaceae,Cuscutoideae,0,GN
Cynodon.dactylon,Cynodon dactylon,"Cynodon dactylon (L.) Pers., 1805",93803,Plantae,0,Equisetopsida,Poales,Poaceae,Chloridoideae,Cynodonteae,ES
Dactylis.glomerata,Dactylis glomerata,"Dactylis glomerata L., 1753",94207,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Dactylis.glomerata.subsp..hispanica,Dactylis glomerata subsp. hispanica,"Dactylis glomerata subsp. hispanica (Roth) Nyman, 1882",133654,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,SSES
Daucus.carota,Daucus carota,"Daucus carota L., 1753",94503,Plantae,0,Equisetopsida,Apiales,Apiaceae,Apioideae,Scandiceae,ES
Draba.verna,Draba verna,"Draba verna L., 1753",95372,Plantae,0,Equisetopsida,Brassicales,Brassicaceae,0,0,ES
Eleocharis.palustris,Eleocharis palustris,"Eleocharis palustris (L.) Roem. & Schult., 1817",95922,Plantae,0,Equisetopsida,Poales,Cyperaceae,Cyperoideae,Eleocharideae,ES
Elytrigia.acuta,Elytrigia acuta,"Elytrigia acuta (DC.) Tzvelev, 1973",96025,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Triticeae,ES
Elytrigia.campestris,Elytrigia campestris,"Elytrigia campestris (Godr. & Gren.) Kerguélen, 1987",96030,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Triticeae,ES
Elytrigia.juncea.subsp..juncea,Elytrigia juncea subsp. juncea,"Elytrigia juncea subsp. juncea (L.) Nevski, 1936",134087,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Triticeae,SSES
Elytrigia.sp.,Elytrigia,"Elytrigia Desv., 1810",192126,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Triticeae,GN
Erigeron.sp.,Erigeron,"Erigeron L., 1753",192282,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Astereae,GN
Erodium.cicutarium,Erodium cicutarium,"Erodium cicutarium (L.) L'Hér., 1789",96895,Plantae,0,Equisetopsida,Geraniales,Geraniaceae,0,0,ES
Ervum.gracile,Ervum gracile,"Ervum gracile DC., 1813",97101,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Euphorbia.exigua,Euphorbia exigua,"Euphorbia exigua L., 1753",97511,Plantae,0,Equisetopsida,Malpighiales,Euphorbiaceae,Euphorbioideae,Euphorbieae,ES
Euphorbia.falcata,Euphorbia falcata,"Euphorbia falcata L., 1753 [nom. et typ. cons.]",97513,Plantae,0,Equisetopsida,Malpighiales,Euphorbiaceae,Euphorbioideae,Euphorbieae,ES
Festuca.sp.,Festuca,"Festuca L., 1753",192551,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,GN
Filago.pygmaea,Filago pygmaea,"Filago pygmaea L., 1753",98698,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Gnaphalieae,ES
Filago.pyramidata,Filago pyramidata,"Filago pyramidata L., 1753",98699,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Gnaphalieae,ES
Filago.sp.,Filago,"Filago L., 1753",192563,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Gnaphalieae,GN
Galium.aparine,Galium aparine,"Galium aparine L., 1753",99373,Plantae,0,Equisetopsida,Gentianales,Rubiaceae,Rubioideae,Rubieae,ES
Galium.mollugo,Galium mollugo,"Galium mollugo L., 1753",99473,Plantae,0,Equisetopsida,Gentianales,Rubiaceae,Rubioideae,Rubieae,ES
Galium.murale,Galium murale,"Galium murale (L.) All., 1785",99479,Plantae,0,Equisetopsida,Gentianales,Rubiaceae,Rubioideae,Rubieae,ES
Galium.palustre,Galium palustre,"Galium palustre L., 1753",99494,Plantae,0,Equisetopsida,Gentianales,Rubiaceae,Rubioideae,Rubieae,ES
Galium.parisiense,Galium parisiense,"Galium parisiense L., 1753",99496,Plantae,0,Equisetopsida,Gentianales,Rubiaceae,Rubioideae,Rubieae,ES
Galium.spurium,Galium spurium,"Galium spurium L., 1753",99549,Plantae,0,Equisetopsida,Gentianales,Rubiaceae,Rubioideae,Rubieae,ES
Gastridium.ventricosum,Gastridium ventricosum,"Gastridium ventricosum (Gouan) Schinz & Thell., 1913",99668,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Geranium.dissectum,Geranium dissectum,"Geranium dissectum L., 1755",100052,Plantae,0,Equisetopsida,Geraniales,Geraniaceae,0,0,ES
Geranium.molle,Geranium molle,"Geranium molle L., 1753",100104,Plantae,0,Equisetopsida,Geraniales,Geraniaceae,0,0,ES
Gramineae.sp.,Gramineae,"Poaceae Barnhart, 1895",453990,Plantae,0,Equisetopsida,Poales,Poaceae,0,0,FM
Hainardia.cylindrica,Hainardia cylindrica,"Hainardia cylindrica (Willd.) Greuter, 1967",100710,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Halimione.portulacoides,Halimione portulacoides,"Halimione portulacoides (L.) Aellen, 1938",100719,Plantae,0,Equisetopsida,Caryophyllales,Amaranthaceae,Chenopodioideae,Atripliceae,ES
Hedypnois.rhagadioloides,Hedypnois rhagadioloides,"Hedypnois rhagadioloides (L.) F.W.Schmidt, 1795",100813,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Helichrysum.stoechas,Helichrysum stoechas,"Helichrysum stoechas (L.) Moench, 1794",101101,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Gnaphalieae,ES
Helminthotheca.echioides,Helminthotheca echioides,"Helminthotheca echioides (L.) Holub, 1973",101210,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Herniaria.cinerea,Herniaria cinerea,"Herniaria cinerea DC., 1815",101405,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,ES
Hippocrepis.biflora,Hippocrepis biflora,"Hippocrepis biflora Spreng., 1815",102840,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,Loteae,ES
Holcus.lanatus,Holcus lanatus,"Holcus lanatus L., 1753",102900,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Hordeum.marinum,Hordeum marinum,"Hordeum marinum Huds., 1778",102968,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Triticeae,ES
Hordeum.murinum,Hordeum murinum,"Hordeum murinum L., 1753",102974,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Triticeae,ES
Hordeum.murinum.subsp..leporinum,Hordeum murinum subsp. leporinum,"Hordeum murinum subsp. leporinum (Link) Arcang., 1882",136672,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Triticeae,SSES
Hordeum.secalinum,Hordeum secalinum,"Hordeum secalinum Schreb., 1771",102990,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Triticeae,ES
Hornungia.procumbens,Hornungia procumbens,"Hornungia procumbens (L.) Hayek, 1925",103020,Plantae,0,Equisetopsida,Brassicales,Brassicaceae,0,0,ES
Hypochaeris.glabra,Hypochaeris glabra,"Hypochaeris glabra L., 1753",103364,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Hypochaeris.sp.,Hypochaeris,"Hypochaeris L., 1753",193519,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,GN
Inula.britannica,Inula britannica,"Inula britannica L., 1753",103598,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Inuleae,ES
Iris.reichenbachiana,Iris reichenbachiana,"Iris reichenbachiana Klatt, 1866",717276,Plantae,0,Equisetopsida,Asparagales,Iridaceae,Iridoideae,Irideae,ES
Juncus.bufonius.gpe,Juncus bufonius,"Juncus bufonius L., 1753",104144,Plantae,0,Equisetopsida,Poales,Juncaceae,0,0,ES
Juncus.gerardi,Juncus gerardi,"Juncus gerardi Loisel., 1809",104196,Plantae,0,Equisetopsida,Poales,Juncaceae,0,0,ES
Juncus.maritimus,Juncus maritimus,"Juncus maritimus Lam., 1794",104246,Plantae,0,Equisetopsida,Poales,Juncaceae,0,0,ES
Juncus.subulatus,Juncus subulatus,"Juncus subulatus Forssk., 1775",104341,Plantae,0,Equisetopsida,Poales,Juncaceae,0,0,ES
Lactuca.saligna,Lactuca saligna,"Lactuca saligna L., 1753",104770,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Lagurus.ovatus,Lagurus ovatus,"Lagurus ovatus L., 1753",104841,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Lathyrus.hirsutus,Lathyrus hirsutus,"Lathyrus hirsutus L., 1753",105201,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Lathyrus.setifolius,Lathyrus setifolius,"Lathyrus setifolius L., 1753",105260,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Leontodon.saxatilis,Leontodon saxatilis,"Leontodon saxatilis Lam., 1779",105521,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Leontodon.sp.,Leontodon,"Leontodon L., 1753",193954,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,GN
Limbarda.crithmoides,Limbarda crithmoides,"Limbarda crithmoides (L.) Dumort., 1827",106000,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Inuleae,ES
Limonium.girardianum,Limonium girardianum,"Limonium girardianum (Guss.) Fourr., 1869",106077,Plantae,0,Equisetopsida,Caryophyllales,Plumbaginaceae,0,0,ES
Limonium.narbonense,Limonium narbonense,"Limonium narbonense Mill., 1768",106088,Plantae,0,Equisetopsida,Caryophyllales,Plumbaginaceae,0,0,ES
Limonium.virgatum,Limonium virgatum,"Limonium virgatum (Willd.) Fourr., 1869",106111,Plantae,0,Equisetopsida,Caryophyllales,Plumbaginaceae,0,0,ES
Linum.sp.,Linum,"Linum L., 1753",194177,Plantae,0,Equisetopsida,Malpighiales,Linaceae,Linoideae,0,GN
Linum.strictum,Linum strictum,"Linum strictum L., 1753",106342,Plantae,0,Equisetopsida,Malpighiales,Linaceae,Linoideae,0,ES
Linum.usitatissimum.subsp..angustifolium,Linum usitatissimum subsp. angustifolium,"Linum usitatissimum subsp. angustifolium (Huds.) Thell., 1912",137388,Plantae,0,Equisetopsida,Malpighiales,Linaceae,Linoideae,0,SSES
